1964,Total Primary Energy Production,49.054863,Quadrillion Btu
1965,Total Primary Energy Production,50.674323,Quadrillion Btu
1966,Total Primary Energy Production,53.53433,Quadrillion Btu
1967,Total Primary Energy Production,56.377344,Quadrillion Btu
1968,Total Primary Energy Production,58.219275,Quadrillion Btu
1969,Total Primary Energy Production,60.527799,Quadrillion Btu
1970,Total Primary Energy Production,63.486956,Quadrillion Btu
1971,Total Primary Energy Production,62.70621,Quadrillion Btu
1972,Total Primary Energy Production,63.887709,Quadrillion Btu
1973,Total Primary Energy Production,63.544207,Quadrillion Btu
1974,Total Primary Energy Production,62.323129,Quadrillion Btu
1975,Total Primary Energy Production,61.296353,Quadrillion Btu
1976,Total Primary Energy Production,61.533577,Quadrillion Btu
1977,Total Primary Energy Production,61.980217,Quadrillion Btu
1978,Total Primary Energy Production,63.070503,Quadrillion Btu
1979,Total Primary Energy Production,65.873655,Quadrillion Btu
1980,Total Primary Energy Production,67.145443,Quadrillion Btu
1981,Total Primary Energy Production,66.909508,Quadrillion Btu
1982,Total Primary Energy Production,66.526732,Quadrillion Btu
1983,Total Primary Energy Production,64.066333,Quadrillion Btu
1984,Total Primary Energy Production,68.799586,Quadrillion Btu
1985,Total Primary Energy Production,67.6613,Quadrillion Btu
1986,Total Primary Energy Production,67.030256,Quadrillion Btu
1987,Total Primary Energy Production,67.506383,Quadrillion Btu
1988,Total Primary Energy Production,68.889579,Quadrillion Btu
1989,Total Primary Energy Production,69.284522,Quadrillion Btu
1990,Total Primary Energy Production,70.667561,Quadrillion Btu
1991,Total Primary Energy Production,70.321066,Quadrillion Btu
1992,Total Primary Energy Production,69.914443,Quadrillion Btu
1993,Total Primary Energy Production,68.272678,Quadrillion Btu
1994,Total Primary Energy Production,70.683064,Quadrillion Btu
1995,Total Primary Energy Production,71.12914,Quadrillion Btu
1996,Total Primary Energy Production,72.435221,Quadrillion Btu
1997,Total Primary Energy Production,72.420085,Quadrillion Btu
1998,Total Primary Energy Production,72.826461,Quadrillion Btu
1999,Total Primary Energy Production,71.685641,Quadrillion Btu
2000,Total Primary Energy Production,71.27059,Quadrillion Btu
2001,Total Primary Energy Production,71.675371,Quadrillion Btu
2002,Total Primary Energy Production,70.653042,Quadrillion Btu
